-0.10139,-0.01982,-0.9887
-0.78343,0.03778,-0.22033
-0.10727,-0.95019,-0.88647
0.97052,0.89042,-0.36592
0.02577,-0.94375,-0.32964
0.11292,0.62025,-0.63629
0.34953,-0.21364,-0.91224
0.33303,-0.22032,-0.99682
-0.02345,-0.0008,0.19972
-0.33624,0.05372,-0.34722
0.56704,-0.07778,0.14034
-0.17921,0.06468,0.38168
-0.77292,-0.0459,-0.22655
-0.24747,0.11368,-0.29897
0.10969,0.14051,0.99003
0.02503,-0.9617,0.27185
0.0381,-0.99724,-0.06873
0.04918,0.99218,0.11471
0.19204,-0.09806,0.09011
0.02824,0.99649,0.02972
-0.04074,0.03074,0.99768
0.09464,-0.09128,-0.03905
-1.00000,0.06845,-0.38149
